"county","state","total_customer_last_month","churn_count_last_month","churn_percent_fiber","churn_percent_dsl","churn_percent_only_phone"
"Collingsworth","TX","2","2","0.50","0.50","0.00"
"Botetourt","VA","3","2","0.00","0.50","0.50"
"Columbia","GA","5","2","0.50","0.50","0.00"
"Columbia","PA","5","2","0.00","1.00","0.00"
"Bourbon","KS","3","2","0.00","1.00","0.00"
"Columbiana","OH","4","2","0.00","0.50","0.50"
"Avery","NC","4","2","0.00","0.50","0.50"
"Box Elder","UT","3","2","1.00","0.00","0.00"
"Kenosha","WI","6","2","0.50","0.00","0.50"
"Kent","MI","4","2","0.50","0.50","0.00"
"Braxton","WV","6","2","0.00","0.50","0.50"
"Breathitt","KY","4","2","0.00","1.00","0.00"
"Knox","IL","6","2","0.50","0.50","0.00"
"Knox","ME","6","2","0.00","0.50","0.50"
"Knox","TN","8","2","0.50","0.50","0.00"
"Kodiak Island","AK","3","2","0.50","0.50","0.00"
"Kootenai","ID","4","2","0.50","0.50","0.00"
"Lackawanna","PA","7","2","1.00","0.00","0.00"
"Lafayette","WI","4","2","0.50","0.50","0.00"
"LaGrange","IN","3","2","0.50","0.50","0.00"
"Lake","FL","5","2","1.00","0.00","0.00"
"Crawford","IL","3","2","1.00","0.00","0.00"
"Crawford","KS","9","2","0.00","0.50","0.50"
"Crawford","PA","5","2","0.00","1.00","0.00"
"Lancaster","NE","10","2","0.50","0.00","0.50"
"Lancaster","PA","13","2","0.50","0.50","0.00"
"Crittenden","AR","3","2","0.50","0.00","0.50"
"Laramie","WY","4","2","0.00","1.00","0.00"
"Lassen","CA","5","2","1.00","0.00","0.00"
"Cullman","AL","3","2","0.00","1.00","0.00"
"Cumberland","NJ","3","2","0.00","1.00","0.00"
"Lawrence","PA","8","2","0.50","0.50","0.00"
"Le Sueur","MN","2","2","0.50","0.50","0.00"
"Lea","NM","8","2","0.00","0.50","0.50"
"Lee","IL","4","2","0.00","1.00","0.00"
"Lee","MS","3","2","0.50","0.50","0.00"
"Leon","TX","6","2","1.00","0.00","0.00"
"Leslie","KY","7","2","0.50","0.50","0.00"
"Letcher","KY","11","2","0.50","0.50","0.00"
"Lewis","WA","8","2","0.50","0.50","0.00"
"Brown","KS","2","2","0.50","0.00","0.50"
"Custer","NE","3","2","0.00","0.00","1.00"
"Limestone","AL","5","2","0.50","0.50","0.00"
"Lincoln","ME","8","2","0.50","0.50","0.00"
"Lincoln","WA","4","2","0.50","0.00","0.50"
"Lincoln","WV","5","2","0.50","0.00","0.50"
"Lincoln","WY","4","2","0.50","0.50","0.00"
"Linn","KS","4","2","0.00","0.50","0.50"
"Linn","MO","3","2","0.50","0.50","0.00"
"Lipscomb","TX","3","2","0.50","0.50","0.00"
"Brunswick","NC","4","2","0.50","0.50","0.00"
"Dallas","TX","12","2","0.50","0.50","0.00"
"Daniels","MT","4","2","0.50","0.00","0.50"
"Darke","OH","9","2","1.00","0.00","0.00"
"Dauphin","PA","9","2","0.00","1.00","0.00"
"Logan","OK","3","2","0.50","0.50","0.00"
"Daviess","MO","4","2","0.50","0.50","0.00"
"Anderson","KS","2","2","1.00","0.00","0.00"
"Lubbock","TX","7","2","0.50","0.50","0.00"
"Lucas","OH","11","2","1.00","0.00","0.00"
"Lycoming","PA","7","2","0.00","1.00","0.00"
"Lyon","IA","2","2","0.00","0.50","0.50"
"Lyon","NV","3","2","0.50","0.50","0.00"
"Madison","AR","3","2","0.00","1.00","0.00"
"Madison","FL","5","2","0.50","0.00","0.50"
"Madison","IL","9","2","0.50","0.50","0.00"
"Buncombe","NC","6","2","0.00","0.50","0.50"
"Decatur","IA","6","2","0.50","0.50","0.00"
"Madison","NE","4","2","0.50","0.50","0.00"
"Bureau","IL","13","2","0.00","0.50","0.50"
"Decatur","KS","3","2","0.50","0.50","0.00"
"Mahoning","OH","3","2","1.00","0.00","0.00"
"DeKalb","IL","5","2","0.00","0.50","0.50"
"Burlington","NJ","6","2","1.00","0.00","0.00"
"Marinette","WI","5","2","0.00","0.50","0.50"
"Champaign","OH","1","1","1.00","0.00","0.00"
"Grady","GA","3","1","1.00","0.00","0.00"
"San Joaquin","CA","8","1","0.00","1.00","0.00"
"Marathon","WI","5","1","0.00","1.00","0.00"
"San Juan","PR","3","1","0.00","1.00","0.00"
"San Juan","UT","2","1","1.00","0.00","0.00"
"Grady","OK","1","1","0.00","1.00","0.00"
"San Lorenzo","PR","1","1","0.00","0.00","1.00"
"Nicholas","KY","1","1","0.00","1.00","0.00"
"San Mateo","CA","8","1","1.00","0.00","0.00"
"Niagara","NY","3","1","0.00","1.00","0.00"
"Laclede","MO","4","1","1.00","0.00","0.00"
"Lafayette","AR","3","1","0.00","1.00","0.00"
"San Saba","TX","1","1","0.00","0.00","1.00"
"Briscoe","TX","1","1","0.00","0.00","1.00"
"Nez Perce","ID","1","1","0.00","1.00","0.00"
"Charles","MD","5","1","0.00","0.00","1.00"
"Elk","KS","1","1","1.00","0.00","0.00"
"Lafayette","MO","5","1","1.00","0.00","0.00"
"Newton","MS","6","1","0.00","1.00","0.00"
"Santa Barbara","CA","9","1","1.00","0.00","0.00"
"Newton","IN","3","1","1.00","0.00","0.00"
"Santa Cruz","AZ","5","1","1.00","0.00","0.00"
"Santa Cruz","CA","7","1","1.00","0.00","0.00"
"Santa Fe","NM","2","1","1.00","0.00","0.00"
"Grand Forks","ND","2","1","0.00","1.00","0.00"
"Newton","GA","1","1","0.00","0.00","1.00"
"Elbert","GA","1","1","1.00","0.00","0.00"
"Sargent","ND","2","1","0.00","1.00","0.00"
"Sarpy","NE","4","1","0.00","1.00","0.00"
"Sauk","WI","3","1","1.00","0.00","0.00"
"Madison","TX","2","1","1.00","0.00","0.00"
"Lafourche","LA","4","1","0.00","1.00","0.00"
"Lowndes","MS","1","1","0.00","1.00","0.00"
"Bristol","MA","16","1","0.00","0.00","1.00"
"Lake","CA","6","1","1.00","0.00","0.00"
"Charlotte","FL","3","1","1.00","0.00","0.00"
"McClain","OK","2","1","0.00","0.00","1.00"
"Cameron","TX","5","1","1.00","0.00","0.00"
"Scioto","OH","5","1","0.00","1.00","0.00"
"Scotland","MO","3","1","0.00","0.00","1.00"
"Bernalillo","NM","8","1","1.00","0.00","0.00"
"Newport","RI","1","1","0.00","0.00","1.00"
"Scott","IN","2","1","0.00","1.00","0.00"
"Scott","MN","2","1","0.00","0.00","1.00"
"Berrien","GA","2","1","0.00","0.00","1.00"
"Chase","NE","3","1","1.00","0.00","0.00"
"Chatham","GA","4","1","0.00","1.00","0.00"
"Scott","VA","3","1","0.00","1.00","0.00"
"Chatham","NC","1","1","0.00","1.00","0.00"
"Chattahoochee","GA","2","1","0.00","0.00","1.00"
"Grant","OK","2","1","1.00","0.00","0.00"
"Marion","KS","2","1","0.00","1.00","0.00"
"Sebastian","AR","1","1","1.00","0.00","0.00"
"El Dorado","CA","5","1","0.00","0.00","1.00"
"Sedgwick","KS","6","1","0.00","0.00","1.00"
"Lake","IL","6","1","1.00","0.00","0.00"
"New London","CT","9","1","0.00","0.00","1.00"
"Chattooga","GA","2","1","0.00","0.00","1.00"
"Butte","CA","4","1","0.00","1.00","0.00"
"Seneca","OH","1","1","0.00","0.00","1.00"
"Cameron","PA","1","1","0.00","1.00","0.00"
"Sevier","TN","3","1","1.00","0.00","0.00"
"Lake","MI","1","1","0.00","1.00","0.00"
"Graves","KY","5","1","1.00","0.00","0.00"
"Gray","KS","2","1","0.00","1.00","0.00"
"Sharp","AR","2","1","0.00","1.00","0.00"
"Lake","MT","2","1","0.00","0.00","1.00"
"New Castle","DE","4","1","0.00","1.00","0.00"
"Shawnee","KS","8","1","0.00","0.00","1.00"
"Ada","ID","7","1","1.00","0.00","0.00"
"Crawford","IA","1","1","0.00","1.00","0.00"
"Edwards","TX","3","1","0.00","1.00","0.00"
"Grayson","KY","1","1","0.00","1.00","0.00"
"Camden","NJ","15","1","1.00","0.00","0.00"
"Grayson","VA","3","1","1.00","0.00","0.00"
"Shelby","OH","4","1","0.00","1.00","0.00"
"Nemaha","NE","2","1","1.00","0.00","0.00"
"Shelby","TX","2","1","0.00","0.00","1.00"
"Lucas","IA","1","1","0.00","0.00","1.00"
"Lake","SD","2","1","1.00","0.00","0.00"
"Bertie","NC","3","1","0.00","1.00","0.00"
"Decatur","TN","1","1","0.00","1.00","0.00"
"Green Lake","WI","2","1","0.00","1.00","0.00"
"Sheridan","WY","6","1","0.00","1.00","0.00"
"Allen","KY","1","1","0.00","1.00","0.00"
"Sherman","NE","2","1","0.00","0.00","1.00"
"Sherman","OR","1","1","0.00","0.00","1.00"
"Shiawassee","MI","7","1","1.00","0.00","0.00"
"Crawford","OH","3","1","1.00","0.00","0.00"
"Greene","AL","2","1","1.00","0.00","0.00"
"Greene","GA","1","1","0.00","1.00","0.00"
"Nemaha","KS","2","1","0.00","1.00","0.00"
"Greene","IL","2","1","0.00","1.00","0.00"
"Chemung","NY","6","1","0.00","1.00","0.00"
"Barnes","ND","5","1","1.00","0.00","0.00"
"Sioux","ND","2","1","0.00","1.00","0.00"
"Siskiyou","CA","6","1","0.00","0.00","1.00"
"Greene","MO","4","1","0.00","1.00","0.00"
"Skagit","WA","6","1","0.00","1.00","0.00"
"Adams","WI","1","1","1.00","0.00","0.00"
"Nelson","KY","5","1","1.00","0.00","0.00"
"Greene","OH","5","1","0.00","1.00","0.00"
"Smith","KS","1","1","1.00","0.00","0.00"
"Navajo","AZ","5","1","1.00","0.00","0.00"
"Smith","TX","3","1","0.00","1.00","0.00"
"Natchitoches","LA","4","1","1.00","0.00","0.00"
"Nassau","FL","3","1","1.00","0.00","0.00"
"Creek","OK","4","1","1.00","0.00","0.00"
"Cherokee","KS","2","1","1.00","0.00","0.00"
"Cherokee","NC","1","1","0.00","0.00","1.00"
"Cherokee","OK","2","1","0.00","0.00","1.00"
"Nantucket","MA","2","1","0.00","1.00","0.00"
"Brooke","WV","5","1","1.00","0.00","0.00"
"Lamb","TX","5","1","1.00","0.00","0.00"
"Edgefield","SC","1","1","1.00","0.00","0.00"
"Lamoille","VT","8","1","0.00","1.00","0.00"
"Southeast Fairbanks","AK","1","1","1.00","0.00","0.00"
"Spalding","GA","1","1","0.00","1.00","0.00"
"Eddy","NM","2","1","1.00","0.00","0.00"
"Cherokee","TX","2","1","0.00","1.00","0.00"
"Spencer","KY","1","1","1.00","0.00","0.00"
"Greenwood","KS","1","1","1.00","0.00","0.00"
"Muhlenberg","KY","6","1","1.00","0.00","0.00"
"Greenwood","SC","3","1","0.00","1.00","0.00"
"Lampasas","TX","1","1","0.00","0.00","1.00"
"Chesapeake","VA","4","1","1.00","0.00","0.00"
"Gregory","SD","4","1","0.00","0.00","1.00"
"Bibb","AL","4","1","0.00","1.00","0.00"
"St. Clair","IL","7","1","1.00","0.00","0.00"
"Mower","MN","4","1","0.00","0.00","1.00"
"Mountrail","ND","2","1","0.00","0.00","1.00"
"Lumpkin","GA","1","1","0.00","1.00","0.00"
"St. Francis","AR","1","1","0.00","0.00","1.00"
"St. Francois","MO","3","1","1.00","0.00","0.00"
"Grimes","TX","3","1","1.00","0.00","0.00"
"St. John the Baptist","LA","3","1","1.00","0.00","0.00"
"St. Johns","FL","4","1","0.00","1.00","0.00"
"St. Joseph","IN","7","1","0.00","1.00","0.00"
"Chester","PA","13","1","0.00","1.00","0.00"
"St. Landry","LA","5","1","0.00","0.00","1.00"
"Calumet","WI","3","1","0.00","1.00","0.00"
"Morton","ND","2","1","1.00","0.00","0.00"
"Morrow","OH","2","1","0.00","1.00","0.00"
"Marion","SC","2","1","0.00","0.00","1.00"
"GuÃ¡nica","PR","1","1","0.00","1.00","0.00"
"Guadalupe","NM","1","1","1.00","0.00","0.00"
"St. Marys","MD","3","1","0.00","1.00","0.00"
"St. Tammany","LA","2","1","1.00","0.00","0.00"
"Lancaster","SC","1","1","1.00","0.00","0.00"
"Bibb","GA","2","1","0.00","1.00","0.00"
"Stanislaus","CA","8","1","0.00","1.00","0.00"
"Stanly","NC","4","1","0.00","1.00","0.00"
"Morrison","MN","8","1","1.00","0.00","0.00"
"Guernsey","OH","4","1","1.00","0.00","0.00"
"Morris","TX","2","1","0.00","1.00","0.00"
"Morgan","UT","1","1","0.00","1.00","0.00"
"Chesterfield","SC","3","1","0.00","1.00","0.00"
"Morgan","TN","4","1","0.00","0.00","1.00"
"Big Horn","WY","4","1","1.00","0.00","0.00"
"Stearns","MN","6","1","1.00","0.00","0.00"
"Stephens","GA","2","1","1.00","0.00","0.00"
"Gwinnett","GA","4","1","0.00","1.00","0.00"
"Stephens","TX","1","1","1.00","0.00","0.00"
"Stephenson","IL","7","1","0.00","1.00","0.00"
"Sterling","TX","1","1","0.00","1.00","0.00"
"Cheyenne","CO","3","1","1.00","0.00","0.00"
"Habersham","GA","4","1","0.00","0.00","1.00"
"Crisp","GA","2","1","0.00","1.00","0.00"
"Angelina","TX","1","1","0.00","1.00","0.00"
"Morgan","OH","2","1","1.00","0.00","0.00"
"Matagorda","TX","2","1","0.00","0.00","1.00"
"Big Stone","MN","2","1","0.00","0.00","1.00"
"Chickasaw","IA","3","1","0.00","0.00","1.00"
"Stone","MO","2","1","1.00","0.00","0.00"
"Chickasaw","MS","2","1","0.00","1.00","0.00"
"Lapeer","MI","3","1","0.00","1.00","0.00"
"Burt","NE","2","1","0.00","1.00","0.00"
"Marion","MO","3","1","0.00","1.00","0.00"
"Asotin","WA","1","1","0.00","1.00","0.00"
"East Carroll","LA","1","1","1.00","0.00","0.00"
"Callahan","TX","1","1","1.00","0.00","0.00"
"Suffolk","VA","2","1","0.00","1.00","0.00"
"Sullivan","NH","4","1","0.00","1.00","0.00"
"Morgan","IL","4","1","1.00","0.00","0.00"
"Hamilton","IA","5","1","0.00","1.00","0.00"
"Sullivan","TN","2","1","0.00","1.00","0.00"
"Deuel","NE","1","1","0.00","1.00","0.00"
"Chippewa","MN","2","1","0.00","1.00","0.00"
"Accomack","VA","6","1","0.00","1.00","0.00"
"Appanoose","IA","1","1","1.00","0.00","0.00"
"Crook","OR","2","1","0.00","0.00","1.00"
"Eagle","CO","5","1","1.00","0.00","0.00"
"LaSalle","IL","7","1","0.00","1.00","0.00"
"Crook","WY","1","1","1.00","0.00","0.00"
"Sumter","FL","3","1","1.00","0.00","0.00"
"Hamilton","TX","2","1","0.00","0.00","1.00"
"Sunflower","MS","5","1","0.00","0.00","1.00"
"Hamlin","SD","1","1","1.00","0.00","0.00"
"Susquehanna","PA","7","1","0.00","1.00","0.00"
"Mahaska","IA","1","1","1.00","0.00","0.00"
"Sussex","NJ","3","1","1.00","0.00","0.00"
"Brooks","GA","1","1","1.00","0.00","0.00"
"Morgan","AL","2","1","1.00","0.00","0.00"
"Crow Wing","MN","6","1","0.00","0.00","1.00"
"Hampshire","MA","6","1","1.00","0.00","0.00"
"Brooks","TX","2","1","0.00","0.00","1.00"
"Sweetwater","WY","3","1","1.00","0.00","0.00"
"Swift","MN","3","1","0.00","1.00","0.00"
"Lauderdale","MS","5","1","1.00","0.00","0.00"
"Talbot","MD","4","1","1.00","0.00","0.00"
"Chippewa","WI","2","1","1.00","0.00","0.00"
"Bingham","ID","2","1","1.00","0.00","0.00"
"Buffalo","NE","5","1","0.00","1.00","0.00"
"Laurens","GA","4","1","0.00","1.00","0.00"
"Tangipahoa","LA","6","1","1.00","0.00","0.00"
"Morehouse","LA","3","1","1.00","0.00","0.00"
"Mora","NM","5","1","0.00","1.00","0.00"
"Hancock","IL","5","1","0.00","1.00","0.00"
"Hancock","IN","3","1","0.00","0.00","1.00"
"Hancock","ME","11","1","0.00","0.00","1.00"
"Choctaw","AL","4","1","1.00","0.00","0.00"
"Taylor","KY","1","1","0.00","1.00","0.00"
"Taylor","TX","3","1","0.00","1.00","0.00"
"Taylor","WI","2","1","0.00","1.00","0.00"
"Hancock","OH","1","1","1.00","0.00","0.00"
"Calhoun","MI","3","1","1.00","0.00","0.00"
"Culpeper","VA","5","1","1.00","0.00","0.00"
"Hancock","TN","1","1","0.00","1.00","0.00"
"Montrose","CO","3","1","0.00","0.00","1.00"
"Hanover","VA","1","1","0.00","1.00","0.00"
"Hanson","SD","1","1","1.00","0.00","0.00"
"Terrell","TX","2","1","0.00","0.00","1.00"
"Haralson","GA","1","1","1.00","0.00","0.00"
"Hardee","FL","2","1","1.00","0.00","0.00"
"Hardeman","TN","5","1","0.00","1.00","0.00"
"Lavaca","TX","1","1","0.00","1.00","0.00"
"Hardin","IA","4","1","0.00","1.00","0.00"
"Hardin","KY","5","1","1.00","0.00","0.00"
"Lawrence","AL","1","1","0.00","1.00","0.00"
"Hardin","TN","1","1","1.00","0.00","0.00"
"Thomas","NE","1","1","0.00","1.00","0.00"
"Throckmorton","TX","1","1","0.00","1.00","0.00"
"Thurston","NE","3","1","1.00","0.00","0.00"
"Assumption","LA","1","1","0.00","1.00","0.00"
"Atascosa","TX","1","1","1.00","0.00","0.00"
"Lawrence","AR","4","1","0.00","1.00","0.00"
"Christian","IL","2","1","0.00","1.00","0.00"
"Broome","NY","4","1","1.00","0.00","0.00"
"Harford","MD","7","1","1.00","0.00","0.00"
"Mason","WA","1","1","0.00","1.00","0.00"
"Tipton","TN","2","1","0.00","1.00","0.00"
"Harlan","NE","5","1","0.00","0.00","1.00"
"Titus","TX","2","1","1.00","0.00","0.00"
"Mason","TX","1","1","0.00","1.00","0.00"
"Todd","SD","2","1","0.00","1.00","0.00"
"Tolland","CT","9","1","1.00","0.00","0.00"
"Cumberland","NC","9","1","0.00","1.00","0.00"
"Tompkins","NY","4","1","1.00","0.00","0.00"
"Harnett","NC","3","1","1.00","0.00","0.00"
"Christian","KY","4","1","0.00","1.00","0.00"
"Christian","MO","1","1","1.00","0.00","0.00"
"Cibola","NM","4","1","1.00","0.00","0.00"
"Burke","NC","3","1","0.00","1.00","0.00"
"Towns","GA","1","1","1.00","0.00","0.00"
"Traill","ND","5","1","0.00","1.00","0.00"
"Montgomery","OH","9","1","1.00","0.00","0.00"
"Traverse","MN","2","1","0.00","0.00","1.00"
"Montgomery","NY","2","1","0.00","1.00","0.00"
"Harrison","IA","5","1","0.00","0.00","1.00"
"Clackamas","OR","4","1","0.00","1.00","0.00"
"Harrison","MO","3","1","0.00","0.00","1.00"
"Adams","OH","4","1","0.00","1.00","0.00"
"Mason","KY","1","1","1.00","0.00","0.00"
"Claiborne","LA","4","1","1.00","0.00","0.00"
"Troup","GA","4","1","0.00","1.00","0.00"
"Martin","MN","4","1","0.00","1.00","0.00"
"Harrison","WV","8","1","0.00","1.00","0.00"
"Montgomery","NC","3","1","0.00","1.00","0.00"
"Durham","NC","5","1","1.00","0.00","0.00"
"Allen","OH","5","1","0.00","1.00","0.00"
"Duplin","NC","3","1","1.00","0.00","0.00"
"Delta","CO","3","1","1.00","0.00","0.00"
"Baylor","TX","1","1","0.00","0.00","1.00"
"Hart","KY","2","1","0.00","0.00","1.00"
"Tuscarawas","OH","4","1","0.00","1.00","0.00"
"Tuscola","MI","3","1","0.00","0.00","1.00"
"Twiggs","GA","2","1","0.00","1.00","0.00"
"Montgomery","KS","3","1","0.00","1.00","0.00"
"Tyler","TX","3","1","0.00","0.00","1.00"
"Mackinac","MI","3","1","0.00","1.00","0.00"
"Leake","MS","2","1","1.00","0.00","0.00"
"Haskell","OK","2","1","0.00","0.00","1.00"
"Montgomery","IL","4","1","1.00","0.00","0.00"
"Leavenworth","KS","2","1","1.00","0.00","0.00"
"Hawaii","HI","6","1","1.00","0.00","0.00"
"Union","AR","1","1","0.00","1.00","0.00"
"Clark","ID","2","1","0.00","1.00","0.00"
"Clark","IN","5","1","0.00","0.00","1.00"
"Clark","KS","1","1","0.00","1.00","0.00"
"Heard","GA","1","1","1.00","0.00","0.00"
"Hemphill","TX","1","1","1.00","0.00","0.00"
"Dunn","WI","4","1","0.00","1.00","0.00"
"Lebanon","PA","7","1","0.00","1.00","0.00"
"Montgomery","AR","5","1","0.00","1.00","0.00"
"Acadia","LA","3","1","0.00","0.00","1.00"
"Montcalm","MI","4","1","0.00","1.00","0.00"
"Cumberland","VA","2","1","1.00","0.00","0.00"
"Union","PA","6","1","0.00","1.00","0.00"
"Martin","KY","3","1","1.00","0.00","0.00"
"Henry","GA","1","1","0.00","1.00","0.00"
"Henry","IA","2","1","0.00","0.00","1.00"
"Henry","IL","3","1","1.00","0.00","0.00"
"Upshur","WV","3","1","1.00","0.00","0.00"
"Lee","IA","6","1","0.00","1.00","0.00"
"Uvalde","TX","1","1","1.00","0.00","0.00"
"Montague","TX","2","1","0.00","0.00","1.00"
"Macomb","MI","11","1","0.00","1.00","0.00"
"Dundy","NE","1","1","1.00","0.00","0.00"
"Valley","MT","4","1","0.00","1.00","0.00"
"Van Buren","AR","3","1","0.00","0.00","1.00"
"Van Buren","IA","4","1","1.00","0.00","0.00"
"Lee","KY","1","1","0.00","1.00","0.00"
"Van Zandt","TX","4","1","0.00","1.00","0.00"
"Monroe","WI","3","1","1.00","0.00","0.00"
"Monroe","PA","5","1","0.00","0.00","1.00"
"Monroe","MS","5","1","0.00","0.00","1.00"
"Vega Baja","PR","1","1","1.00","0.00","0.00"
"Venango","PA","2","1","0.00","1.00","0.00"
"Hernando","FL","5","1","0.00","0.00","1.00"
"Day","SD","2","1","1.00","0.00","0.00"
"Vermillion","IN","5","1","1.00","0.00","0.00"
"Vernon","LA","3","1","1.00","0.00","0.00"
"Vernon","MO","3","1","0.00","1.00","0.00"
"Vernon","WI","6","1","0.00","1.00","0.00"
"Victoria","TX","5","1","1.00","0.00","0.00"
"Vigo","IN","4","1","1.00","0.00","0.00"
"Vilas","WI","6","1","1.00","0.00","0.00"
"Martin","FL","2","1","0.00","1.00","0.00"
"Hickman","TN","2","1","0.00","1.00","0.00"
"Lee","VA","2","1","0.00","0.00","1.00"
"Clark","WA","6","1","1.00","0.00","0.00"
"Wabash","IN","3","1","0.00","1.00","0.00"
"Wabasha","MN","4","1","0.00","1.00","0.00"
"Clark","WI","4","1","0.00","0.00","1.00"
"Clarke","MS","1","1","1.00","0.00","0.00"
"Wahkiakum","WA","3","1","0.00","1.00","0.00"
"Monroe","IN","5","1","0.00","1.00","0.00"
"Wakulla","FL","2","1","0.00","1.00","0.00"
"Monroe","IL","5","1","0.00","0.00","1.00"
"Allendale","SC","2","1","0.00","1.00","0.00"
"Clarke","VA","3","1","1.00","0.00","0.00"
"Highlands","FL","2","1","0.00","1.00","0.00"
"Blair","PA","6","1","0.00","1.00","0.00"
"Wallace","KS","1","1","0.00","0.00","1.00"
"Wallowa","OR","1","1","1.00","0.00","0.00"
"Leflore","MS","1","1","0.00","1.00","0.00"
"Monroe","GA","2","1","1.00","0.00","0.00"
"Walton","FL","2","1","0.00","1.00","0.00"
"Andrew","MO","2","1","1.00","0.00","0.00"
"Walworth","WI","3","1","0.00","0.00","1.00"
"Calhoun","AR","1","1","0.00","0.00","1.00"
"Athens","OH","3","1","1.00","0.00","0.00"
"Lemhi","ID","4","1","0.00","1.00","0.00"
"Warren","IA","1","1","1.00","0.00","0.00"
"Lenawee","MI","3","1","0.00","1.00","0.00"
"Warren","IN","1","1","1.00","0.00","0.00"
"Atkinson","GA","2","1","1.00","0.00","0.00"
"Clay","IL","2","1","0.00","1.00","0.00"
"Clay","IN","2","1","1.00","0.00","0.00"
"Leon","FL","2","1","1.00","0.00","0.00"
"Macon","IL","3","1","0.00","1.00","0.00"
"Macon","MO","3","1","0.00","0.00","1.00"
"Warren","PA","9","1","0.00","0.00","1.00"
"Monroe","AL","1","1","1.00","0.00","0.00"
"Warren","VA","1","1","0.00","1.00","0.00"
"Clay","MO","6","1","1.00","0.00","0.00"
"Wasatch","UT","1","1","0.00","1.00","0.00"
"Waseca","MN","1","1","0.00","1.00","0.00"
"Hoonah-Angoon","AK","1","1","0.00","1.00","0.00"
"Bay","FL","4","1","0.00","1.00","0.00"
"Buffalo","WI","2","1","0.00","0.00","1.00"
"Curry","NM","2","1","1.00","0.00","0.00"
"Washington","IA","7","1","1.00","0.00","0.00"
"Clay","NC","1","1","0.00","0.00","1.00"
"Washington","IL","5","1","0.00","0.00","1.00"
"Washington","IN","2","1","0.00","0.00","1.00"
"Caledonia","VT","3","1","0.00","1.00","0.00"
"Lewis","KY","1","1","1.00","0.00","0.00"
"Bolivar","MS","3","1","0.00","0.00","1.00"
"Curry","OR","1","1","0.00","1.00","0.00"
"Marshall","TN","3","1","1.00","0.00","0.00"
"Washington","MO","5","1","0.00","1.00","0.00"
"Washington","MS","2","1","0.00","1.00","0.00"
"Houston","MN","5","1","0.00","1.00","0.00"
"Clay","SD","1","1","1.00","0.00","0.00"
"Washington","NY","3","1","0.00","1.00","0.00"
"Clay","TX","3","1","1.00","0.00","0.00"
"Howard","IA","1","1","0.00","1.00","0.00"
"Bullitt","KY","4","1","1.00","0.00","0.00"
"Caldwell","TX","2","1","1.00","0.00","0.00"
"Macoupin","IL","5","1","0.00","1.00","0.00"
"Marshall","OK","1","1","1.00","0.00","0.00"
"Caldwell","NC","4","1","1.00","0.00","0.00"
"Lexington","SC","4","1","0.00","1.00","0.00"
"Liberty","GA","2","1","1.00","0.00","0.00"
"Washington","WI","1","1","1.00","0.00","0.00"
"Howard","NE","1","1","0.00","0.00","1.00"
"Clayton","GA","5","1","1.00","0.00","0.00"
"Washtenaw","MI","2","1","1.00","0.00","0.00"
"Watauga","NC","2","1","1.00","0.00","0.00"
"Clayton","IA","4","1","0.00","1.00","0.00"
"Waukesha","WI","7","1","0.00","1.00","0.00"
"Waupaca","WI","1","1","0.00","1.00","0.00"
"Mitchell","NC","2","1","0.00","0.00","1.00"
"Hubbard","MN","2","1","1.00","0.00","0.00"
"Hudson","NJ","4","1","1.00","0.00","0.00"
"Wayne","IL","4","1","0.00","1.00","0.00"
"Baxter","AR","2","1","0.00","0.00","1.00"
"Douglas","MO","2","1","0.00","0.00","1.00"
"Hudspeth","TX","5","1","0.00","0.00","1.00"
"Atoka","OK","1","1","0.00","1.00","0.00"
"Mississippi","AR","7","1","0.00","0.00","1.00"
"Madera","CA","4","1","0.00","1.00","0.00"
"Custer","OK","3","1","1.00","0.00","0.00"
"Wayne","OH","5","1","0.00","0.00","1.00"
"Wayne","PA","10","1","0.00","1.00","0.00"
"Humboldt","NV","3","1","1.00","0.00","0.00"
"Clearfield","PA","13","1","0.00","1.00","0.00"
"Bath","VA","1","1","0.00","0.00","1.00"
"Clermont","OH","6","1","1.00","0.00","0.00"
"Weakley","TN","1","1","0.00","1.00","0.00"
"Madison","AL","4","1","0.00","0.00","1.00"
"Douglas","KS","2","1","1.00","0.00","0.00"
"Amite","MS","1","1","0.00","1.00","0.00"
"Antelope","NE","2","1","0.00","1.00","0.00"
"Marshall","KS","4","1","0.00","1.00","0.00"
"Webster","MS","5","1","1.00","0.00","0.00"
"Hutchinson","SD","1","1","0.00","1.00","0.00"
"Bonner","ID","2","1","0.00","0.00","1.00"
"Dade","GA","2","1","1.00","0.00","0.00"
"Lincoln","KY","1","1","0.00","1.00","0.00"
"Dade","MO","2","1","0.00","1.00","0.00"
"Mineral","NV","1","1","0.00","0.00","1.00"
"Mineral","MT","3","1","0.00","1.00","0.00"
"Westmoreland","VA","2","1","1.00","0.00","0.00"
"Major","OK","3","1","0.00","0.00","1.00"
"Wexford","MI","3","1","0.00","1.00","0.00"
"Wharton","TX","6","1","0.00","1.00","0.00"
"Lincoln","MN","2","1","0.00","1.00","0.00"
"Boone","AR","2","1","1.00","0.00","0.00"
"Iberville","LA","2","1","1.00","0.00","0.00"
"Clinch","GA","4","1","0.00","1.00","0.00"
"Wheeler","TX","3","1","1.00","0.00","0.00"
"White","AR","3","1","0.00","0.00","1.00"
"White","IL","3","1","1.00","0.00","0.00"
"White","IN","4","1","1.00","0.00","0.00"
